Linea1,Afluencia,
Pantitlan,"17,860,457",
Zaragoza,"16,963,497",
GomezFarias,"10,360,851",
BlvdPuertoAereo,"8,429,972",
Balbuena,"4,902,639",
Moctezuma,"8,050,035",
SanLazaro,"11,915,094",
Candelaria,"8,554,561",
Merced,"18,129,244",
PinoSuarez,"11,456,022",
IsabellaCatolica,"8,262,282",
SaltodelAgua,"7,482,564",
Balderas,"7,825,656",
Cuauhtemoc,"8,311,511",
Insurgentes,"20,753,676",
Sevilla,"11,123,527",
Chapultepec,"19,388,677",
Juanacatlan,"4,259,229",
Tacubaya,"12,369,808",
Observatorio,"26,388,110"
Linea2,Afluencia,
CuatroCaminos,"39,378,128",
Panteones,"4,929,735",
Tacuba,"12,081,287",
Cuitlahuac,"6,794,715",
Popotla,"3,650,212",
ColegioMilitar,"5,575,408",
Normal,"12,870,083",
SanCosme,"8,355,454",
Revolucion,"10,775,619",
Hidalgo,"9,967,554",
BellasArtes,"11,057,441",
Allende,"10,538,474",
Zocalo,"26,138,960",
PinoSuarez,"9,540,733",
SanAntonioAbad,"7,897,611",
Chabacano,"10,452,786",
Viaducto,"7,543,940",
Xola,"8,146,220",
VilladeCortes,"6,341,507",
Portales,"8,201,726",
Ermita,"5,961,834",
GeneralAnaya,"8,881,306",
Tasquena,"26,905,368"
Linea3,Afluencia,
IndiosVerdes,"39,192,273",
Deptvo18deMarzo,"12,265,837",
Tacuba,"8,982,398",
Potrero,"6,317,545",
LaRaza,"11,364,171",
Tlatelolco,"6,766,390",
Guerrero,"3,893,901",
Hidalgo,"6,378,926",
Juárez,"6,320,737",
Balderas,"4,077,730",
NiñosHéroes,"7,865,930",
HospitalGeneral,"7,478,953",
CentroMédico,"7,395,505",
Etiopía,"10,885,701",
Eugenia,"6,700,579",
DivisióndelNorte,"6,552,063",
Zapata,"9,027,192",
Coyoacán,"9,780,261",
Viveros,"7,727,513",
MiguelAdeQ,"12,101,570",
Copilco,"14,030,121",
Universidad,"26,555,624",
Linea4,Afluencia,
SantaAnita,"854,706",
Jamaica,"2,876,658",
FrayServando,"3,239,953",
Candelaria,"2,953,147",
Morelos,"3,020,965",
CanaldelNorte,"3,303,152",
Consulado,"1,608,777",
Bondojito,"2,371,742",
Talismán,"1,965,881",
MartinCarrera,"6,818,051",
Linea5,Afluencia,
Politecnico,"12,624,212",
InstDelPetroleo,"2,215,325",
AutobusesDelNorte,"8,280,147",
LaRaza,"3,578,110",
Misterios,"2,953,802",
ValleGomez,"1,611,907",
Consulado,"1,799,502",
Eduardo Molina,"2,486,165",
Aragon,"2,754,754",
Oceania,"3,129,656",
TerminalAerea,"6,712,062",
Hangares,"1,772,609",
Pantitlan,"36,594,748"
Linea6,Afluencia,
ElRosario,"5,865,983",
Tezozomoc,"2,101,647",
Azcapotzalco,"2,947,847",
Ferreria,"8,679,563",
Norte45,"2,597,226",
Vallejo,"2,922,747",
InstDelPetroleo,"1,182,817",
Lindavista,"6,525,784",
Deptvo18DeMarzo,"644,226",
LaVillaBasilica,"5,440,130",
MartinCarrera,"11,038,852"
Linea7,Afluencia,
ElRosario,"12,792,425",
AquilesSerdan,"5,785,502",
Camarones,"5,697,048",
Refineria,"3,980,593",
Tacuba,"3,173,516",
SanJoaquín,"10,755,360",
Polanco,"13,028,555",
Auditorio,"12,503,639",
Constituyentes,"3,042,974",
Tacubaya,"2,350,325",
SanPedroLosPinos,"4,993,274",
SanAntonio,"5,293,530",
Mixcoac,"8,073,781",
BarrancaDelMuerto,"16,681,523",
Linea8, Afluencia,
Garibaldi,"6,304,770",
BellasArtes,"7,718,079",
SanJuanLetrán,"9,962,243",
SaltodelAgua,"5,454,216",
Doctores,"4,502,133",
Obrera,"4,453,599",
Chabacano,"1,554,977",
LaViga,"2,805,291",
SantaAnita,"2,402,874",
Coyuya,"8,501,595",
Iztacalco,"8,002,058",
Apatlaco,"5,100,848",
Aculco,"3,524,731",
Escuadrón201,"8,047,639",
Atlalilco,"5,611,383",
Iztapalapa,"4,140,807",
CerrodelaEstrella,"4,258,375",
UAMI,"9,203,724",
Constituciónde1917,"32,255,313"
Linea9,Afluencia,
Pantitlán,"32,839,328",
Puebla,"12,185,200",
CiudadDeportiva,"2,598,847",
Velódromo,"3,288,845",
Mixiuhca,"6,694,736",
Jamaica,"4,561,989",
Chabacano,"3,912,641",
LázaroCárdenas,"4,363,376",
CentroMédico,"5,143,782",
Chilpancingo,"15,212,533",
Patriotismo,"6,628,532",
Tacubaya,"12,721,847"
LineaA,Afluencia,
Pantitlán,"45,550,938",
AgrícolaOriental,"4,130,829",
CanaldeSanJuan,"4,813,813",
Tepalcates,"7,054,067",
Guelatao,"7,898,506",
PeñónViejo,"5,025,958",
Acatitla,"5,846,455",
SantaMarta,"10,088,191",
LosReyes,"6,242,517",
LaPaz,"15,636,790"
LíneaB,Afluencia,
Buenavista,"21,907,761",
Guerrero,"2,090,890",
Garibaldi,"2,707,399",
Lagunilla,"8,394,391",
Tepito,"8,233,487",
Morelos,"1,972,909",
RomeroRubio,"2,925,132",
Oceania,"3,788,470",
DeportivoOceania,"5,731,450",
BosqueDeAragón,"2,193,804",
VillaDeAragon,"5,398,782",
Nezahualcóyotl,"8,378,849",
Impulsora,"9,105,811",
RioDeLosRemedios,"7,331,993",
Muzquiz,"11,246,650",
Tecnologico,"9,523,423",
Olimpica,"6,159,343",
PlazaAragon,"7,084,384",
CiudadAzteca,"21,270,326"
Linea12,Afluencia,
Tláhuac,"20,743,670",
Tlaltenco,"1,274,784",
Zapotitlán,"4,994,118",
Nopalera,"8,209,571",
Olivos,"6,514,392",
Tezonco,"8,443,023",
PeriféricoOriente,"12,095,813",
Calle11,"5,309,588",
LomasEstrella,"4,481,178",
SanAndrésTomatlán,"4,514,716",
Culhuacán,"5,583,585",
Atlalilco,"5,112,833",
Mexicaltzingo,"6,981,386",
Ermita,"3,904,630",
EjeCentral,"4,077,416",
ParquedelosVenados,"4,249,439",
Zapata,"5,187,865",
20deNoviembre,"4,290,490",
InsurgentesSur,"12,976,044",
Mixcoac,"5,956,326",
AfluenciaAnual,Afluencia,
L1,"242,787,412",
L2,"269,149,446",
L3,"222,368,257",
L4,"29,013,032",
L5,"86,512,999",
L6,"49,945,822",
L7,"108,152,051",
L8,"133,620,679",
L9,"113,765,528",
LA,"112,288,064",
LB,"152,546,958",
L12,"134,900,367" 